date 8,date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker patronage,defender patronage,att team id,def team id
20250303,03/03 16:24,4425955,Tobi,1092317,Kho Dor Hei Neb Jhu Ast,6750080,KYO,1140210,Ruf Dan Cel Seb Iri Axe,20,Axe(11064) Alb(11064) Cai(10154) Vex(10154) Oli(11064),Bis(11064) Cai(11064) Axe(11064) Alb(11064) Oli(11064),183303,187932
20250303,03/03 16:25,4587443,Momi,1139659,Kho Dor Aug Ori Neb Dan,6750241,Baby M,941280,Aur Ami Neb Hei Pol Kho,20,Axe(11064) Alb(11064) Mer(11064) Cai(11064) Fen(11064),Oli(11064) Bis(11064) Cai(11064) Alb(11064) Mar(11064),183303,187932
20250303,03/03 16:28,4425955,Tobi,1126947,Axe Mar Hei Seb Jhu Isa,21749405,StarShine,1105413,Ruf Neb Hei Ori Aug Kho,20,Axe(11064) Cai(10154) Alb(11064) Vex(10154) Oli(11064),Oli(9456) Cai(9428) Alb(11064) Kho(11064) Axe(11064),183303,187932
20250303,03/03 16:26,4587443,Momi,1139659,Kho Dor Aug Ori Neb Dan,21752436,Achilles,1021131,Krv K'A Hei Iri Mar Axe,20,Axe(11064) Alb(11064) Mer(11064) Cai(11064) Fen(11064),Oli(11064) Fen(11064) Cai(11064) Alb(11064) Axe(11064),183303,187932
20250303,03/03 15:58,4454896,Team D,1035994,Kho Mar Jor Seb Neb Jhu,22181735,Team natalia,884337,Ruf Ami Neb Hei Pol Kho,20,Axe(11064)  ###  Oli(11064) Cai(11064) Vex(6676),Bis(11064) Axe(11064) Cai(11064) Alb(11064) Kho(11064),183303,187932
20250303,03/03 16:19,4668830,TrumpReturns,1100863,Axe Fac Jor Kai K'A Ast,21748584,Mr.lee,1066625,Ruf Seb Hei Iri Dor Axe,11,Mar(9018) Axe(11064) Bis(11064) Vex(11064) Oli(9018),Bis(9428) Oli(11064) Cai(11064) Alb(11064) Axe(11064),183303,187932
20250303,03/03 20:08,23402789,Ragto,1150205,Axe Dor Iri Hei Mor Krv,21748584,Mr.lee,1066625,Ruf Seb Hei Iri Dor Axe,8,Mer(10252) Bis(11064) Axe(11064) Oli(11064) Alb(11064),Bis(9428) Oli(11064) Cai(11064) Alb(11064) Axe(11064),183303,187932
20250303,03/03 17:51,4178114,Master,1118925,Axe Mar Iri Mor Yas Krv,21748584,Mr.lee,1066625,Ruf Seb Hei Iri Dor Axe,1,Oli(11064) Bis(9428) Axe(11064) Fen(9428) Alb(9428),Bis(9428) Oli(11064) Cai(11064) Alb(11064) Axe(11064),183303,187932
20250303,03/03 18:47,4411696,Feinripp,1048585,Axe Faf Jor Seb Neb Jhu,21748584,Mr.lee,1066625,Ruf Seb Hei Iri Dor Axe,0,Mar(9018) Axe(11064) Alb(11064) Cai(11064) Fen(11064),Bis(9428) Oli(11064) Cai(11064) Alb(11064) Axe(11064),183303,187932
20250301,01/03 15:24,4454896,Team D,1131492,Axe Aug Ori Seb Isa Aur,4162493,GALLICA,1139404,Dan Neb Ori Aug Dor Kho,20,Kho(11064) Axe(11064) Fen(6756) Oli(11064) Cai(11064),Cai(11064)  ###  Bis(10154) Alb(11064) Mer(10154),183303,36766
